id,original_hole_size,hole_size,baseline_demand,candidate_demand,original_ligament_width,ligament_width,delta,risk_original,risk_candidate
0,6.92820531386791,6.6508869494622305,7.232870119681567,6.473666479996032,1.0719927609767472,1.0293130505376733,-0.7592036396855351,LOW,LOW
1,6.92820531386791,6.650887432403991,7.232870119681567,6.176044880401799,1.0719922579124215,1.029312567595922,-1.0568252392797683,LOW,LOW
2,6.928209718700821,6.635960749467714,33.78801653786241,38.20897418954547,1.071993786583705,1.0515125183122396,4.420957651683061,CRITICAL,CRITICAL
3,6.928205904001227,6.6507403762048645,14.527859950004117,12.100723225296717,1.0719943009181172,1.0295176471279488,-2.4271367247074007,MODERATE,MODERATE
4,6.928209718700821,6.635079562271497,34.06886981161878,36.742948073822326,1.0719925912158732,1.0528034803902677,2.674078262203544,CRITICAL,CRITICAL
5,6.92820531386791,6.451298090338196,51.41990946418014,58.02401061737081,1.0719922529497603,1.2099934700866928,6.604101153190676,CRITICAL,CRITICAL
6,6.92820531386791,6.611993555213211,25.045425357035846,25.45465670682976,1.0719930293523616,1.0875488683708758,0.40923134979391307,HIGH,HIGH
7,6.92820531386791,6.609419899942228,25.056279979186137,25.012096514934278,1.0719926872245116,1.0904181578361416,-0.044183464251858595,HIGH,HIGH
8,6.92820531386791,6.441700568060037,51.52497409191001,53.93913186035426,1.071992329147607,1.2186284444213922,2.414157768444248,CRITICAL,CRITICAL
9,6.928209718700821,6.214338545217663,60.61300109570518,48.65309888283096,1.0719931389187856,1.4105885514586536,-11.95990221287422,CRITICAL,CRITICAL
10,6.928209718700821,6.430727063747522,38.21293643453703,36.66151744095216,1.0719937907832797,1.2492504096634482,-1.5514189935848677,CRITICAL,CRITICAL
11,6.928209718700821,6.419909719132292,38.320735475473924,37.43637006672109,1.071992519217525,1.2599984684894256,-0.884365408752835,CRITICAL,CRITICAL
12,6.928209718700821,6.194645160015504,60.210992976095,66.44568665291737,1.0719928789750786,1.428457543215255,6.234693676822374,CRITICAL,CRITICAL
13,6.928205904001227,6.531303081940877,22.91284564880398,19.498013552036507,1.0719943009180966,1.1526477723680175,-3.414832096767473,HIGH,MODERATE
14,6.92820531386791,6.093075477841348,55.18199991241677,38.703245017997176,1.0719926872244347,1.519869034609948,-16.478754894419595,CRITICAL,CRITICAL
15,6.92820531386791,6.308208304796859,41.087604934347,36.66151744095216,1.0719935641958354,1.3708835399143346,-4.426087493394839,CRITICAL,CRITICAL
16,6.92820531386791,6.49557856189824,29.855498462357776,22.272759020771105,1.0719930293523594,1.1899624848682855,-7.582739441586671,HIGH,HIGH
17,6.92820531386791,6.488046636788305,30.255428541676444,22.30700402025483,1.0719926872245087,1.1974212368185804,-7.9484245214216145,CRITICAL,HIGH
18,6.92820531386791,6.287747758069579,42.107735541097945,37.43637006672109,1.0719933696758897,1.391066667898423,-4.671365474376856,CRITICAL,CRITICAL
19,6.92820531386791,6.0607253880245375,55.5720623916216,53.40954545685721,1.0719926872244347,1.5487448260953443,-2.1625169347643904,CRITICAL,CRITICAL
20,6.9282034065195885,6.04048919107987,53.24135520452127,54.08524025385564,1.0719956964877673,1.572213703493236,0.8438850493343679,CRITICAL,CRITICAL
