id,original_hole_size,hole_size,baseline_demand,candidate_demand,original_ligament_width,ligament_width,delta,risk_original,risk_candidate
0,6.92820531386791,6.92820531386791,7.232870119681567,7.232870119681567,1.0719927609767472,1.0719927609767472,0.0,LOW,LOW
1,6.92820531386791,6.92820531386791,7.232870119681567,7.232870119681567,1.0719922579124215,1.0719922579124215,0.0,LOW,LOW
2,6.928209718700821,6.928209718700821,33.78801653786241,33.78801653786241,1.071993786583705,1.071993786583705,0.0,CRITICAL,CRITICAL
3,6.928205904001227,6.928205904001227,14.527859950004117,14.527859950004117,1.0719943009181172,1.0719943009181172,0.0,MODERATE,MODERATE
4,6.928209718700821,6.928209718700821,34.06886981161878,34.06886981161878,1.0719925912158732,1.0719925912158732,0.0,CRITICAL,CRITICAL
5,6.92820531386791,6.92820531386791,51.41990946418014,51.41990946418014,1.0719922529497603,1.0719922529497603,0.0,CRITICAL,CRITICAL
6,6.92820531386791,6.92820531386791,25.045425357035846,25.045425357035846,1.0719930293523616,1.0719930293523616,0.0,HIGH,HIGH
7,6.92820531386791,6.92820531386791,25.056279979186137,25.056279979186137,1.0719926872245116,1.0719926872245116,0.0,HIGH,HIGH
8,6.92820531386791,6.92820531386791,51.52497409191001,51.52497409191001,1.071992329147607,1.071992329147607,0.0,CRITICAL,CRITICAL
9,6.928209718700821,6.928209718700821,60.61300109570518,60.61300109570518,1.0719931389187856,1.0719931389187856,0.0,CRITICAL,CRITICAL
10,6.928209718700821,6.928209718700821,38.21293643453703,38.21293643453703,1.0719937907832797,1.0719937907832797,0.0,CRITICAL,CRITICAL
11,6.928209718700821,6.928209718700821,38.320735475473924,38.320735475473924,1.071992519217525,1.071992519217525,0.0,CRITICAL,CRITICAL
12,6.928209718700821,6.928209718700821,60.210992976095,60.210992976095,1.0719928789750786,1.0719928789750786,0.0,CRITICAL,CRITICAL
13,6.928205904001227,6.928205904001227,22.91284564880398,22.91284564880398,1.0719943009180966,1.0719943009180966,0.0,HIGH,HIGH
14,6.92820531386791,6.92820531386791,55.18199991241677,55.18199991241677,1.0719926872244347,1.0719926872244347,0.0,CRITICAL,CRITICAL
15,6.92820531386791,6.92820531386791,41.087604934347,41.087604934347,1.0719935641958354,1.0719935641958354,0.0,CRITICAL,CRITICAL
16,6.92820531386791,6.92820531386791,29.855498462357776,29.855498462357776,1.0719930293523594,1.0719930293523594,0.0,HIGH,HIGH
17,6.92820531386791,6.92820531386791,30.255428541676444,30.255428541676444,1.0719926872245087,1.0719926872245087,0.0,CRITICAL,CRITICAL
18,6.92820531386791,6.92820531386791,42.107735541097945,42.107735541097945,1.0719933696758897,1.0719933696758897,0.0,CRITICAL,CRITICAL
19,6.92820531386791,6.92820531386791,55.5720623916216,55.5720623916216,1.0719926872244347,1.0719926872244347,0.0,CRITICAL,CRITICAL
20,6.9282034065195885,6.9282034065195885,53.24135520452127,53.24135520452127,1.0719956964877673,1.0719956964877673,0.0,CRITICAL,CRITICAL
21,6.92820531386791,6.92820531386791,40.99664623029715,40.99664623029715,1.0719951746567835,1.0719951746567835,0.0,CRITICAL,CRITICAL
22,6.92820531386791,6.92820531386791,31.35983938734448,31.35983938734448,1.0719961612070108,1.0719961612070108,0.0,CRITICAL,CRITICAL
23,6.928201499170742,6.928201499170742,26.312630052151476,26.312630052151476,1.071996503334636,1.071996503334636,0.0,HIGH,HIGH
24,6.92820531386791,6.92820531386791,31.562329447988557,31.562329447988557,1.071994889641333,1.071994889641333,0.0,CRITICAL,CRITICAL
25,6.92820531386791,6.92820531386791,42.107735541097945,42.107735541097945,1.0719952400805208,1.0719952400805208,0.0,CRITICAL,CRITICAL
26,6.92820531386791,6.92820531386791,55.152813273097244,55.152813273097244,1.0719948896412637,1.0719948896412637,0.0,CRITICAL,CRITICAL
27,6.92819900168509,6.92819900168509,53.24135520452127,53.24135520452127,1.0719987057503622,1.0719987057503622,0.0,CRITICAL,CRITICAL
28,6.928200909032199,6.928200909032199,38.47473753269674,38.47473753269674,1.0719970920581037,1.0719970920581037,0.0,CRITICAL,CRITICAL
29,6.928200909032199,6.928200909032199,31.35983938734448,31.35983938734448,1.0719961828387314,1.0719961828387314,0.0,CRITICAL,CRITICAL
30,6.928200909032199,6.928200909032199,25.878411108048894,25.878411108048894,1.0719974341854013,1.0719974341854013,0.0,HIGH,HIGH
31,6.928200909032199,6.928200909032199,26.312630052151476,26.312630052151476,1.0719970920581574,1.0719970920581574,0.0,HIGH,HIGH
32,6.928200909032199,6.928200909032199,31.562329447988557,31.562329447988557,1.071996182838732,1.071996182838732,0.0,CRITICAL,CRITICAL
33,6.928200909032199,6.928200909032199,39.4176013353656,39.4176013353656,1.0719970920580806,1.0719970920580806,0.0,CRITICAL,CRITICAL
34,6.928200909032199,6.928200909032199,55.152813273097244,55.152813273097244,1.07199836362384,1.07199836362384,0.0,CRITICAL,CRITICAL
35,6.9282034065195885,6.9282034065195885,40.84431918870557,40.84431918870557,1.0719978989043935,1.0719978989043935,0.0,CRITICAL,CRITICAL
36,6.92820531386791,6.92820531386791,32.99508978240675,32.99508978240675,1.0719960483044464,1.0719960483044464,0.0,CRITICAL,CRITICAL
37,6.92820531386791,6.92820531386791,27.149654854526784,27.149654854526784,1.071998363623835,1.071998363623835,0.0,HIGH,HIGH
38,6.928201499170742,6.928201499170742,25.238208389933114,25.238208389933114,1.0719987057511569,1.0719987057511569,0.0,HIGH,HIGH
39,6.92820531386791,6.92820531386791,26.61602761559505,26.61602761559505,1.0719970920581574,1.0719970920581574,0.0,HIGH,HIGH
40,6.92820531386791,6.92820531386791,32.30534153448972,32.30534153448972,1.0719960483044233,1.0719960483044233,0.0,CRITICAL,CRITICAL
41,6.92820531386791,6.92820531386791,41.462636636477356,41.462636636477356,1.0719970920580815,1.0719970920580815,0.0,CRITICAL,CRITICAL
42,6.9282034065195885,6.9282034065195885,56.96122578750564,56.96122578750564,1.071998705750466,1.071998705750466,0.0,CRITICAL,CRITICAL
