cell,x,y,original_hole_size,candidate_hole_size,baseline_demand
0,-8.009178843548954,-41.027240722156954,6.918529104994896,6.918529104994896,19.0352517069067
1,8.009178843548954,-41.027240722156954,6.918529104994896,6.918529104994896,19.223051294457516
2,-20.0,-34.10453414916992,6.928197684471472,6.928197684471472,28.6317988481684
3,-12.0,-34.10453414916992,6.928197684471472,6.928197684471472,22.075761193257605
4,-4.0,-34.10453414916992,6.928197684471472,6.928197684471472,24.91611392332258
5,3.9999932183159723,-34.10453414916992,6.92820531386791,6.92820531386791,24.91611392332258
6,12.0,-34.10453414916992,6.928197684471472,6.928197684471472,22.460789605043942
7,20.0,-34.10453414916992,6.928197684471472,6.928197684471472,29.014524989565714
8,-24.0,-27.176326751708984,6.928197684471472,6.928197684471472,32.991511927201735
9,-16.0,-27.176326751708984,6.928197684471472,6.928197684471472,30.840534170220412
10,-8.0,-27.176326751708984,6.928197684471472,6.928197684471472,29.045680459691113
11,-0.0,-27.176326751708984,6.928197684471472,6.928197684471472,29.386669973811564
12,8.0,-27.176326751708984,6.928197684471472,6.928197684471472,29.465016193327976
13,16.0,-27.176326751708984,6.928197684471472,6.928197684471472,31.34596259167015
14,24.0,-27.176326751708984,6.928197684471472,6.928197684471472,33.7202418426239
15,-28.0,-20.248126983642578,6.928197684471472,6.928197684471472,32.991511927201735
16,-20.0,-20.248126983642578,6.928197684471472,6.928197684471472,30.840534170220412
17,-12.0,-20.248126983642578,6.928197684471472,6.928197684471472,32.54227016136812
18,-4.0,-20.248126983642578,6.928197684471472,6.928197684471472,34.300893588878466
19,3.9999932183159723,-20.248126983642578,6.92820531386791,6.92820531386791,34.44859518285135
20,12.0,-20.248126983642578,6.928197684471472,6.928197684471472,33.05727322342189
21,20.0,-20.248126983642578,6.928197684471472,6.928197684471472,31.34596259167015
22,28.0,-20.248126983642578,6.928197684471472,6.928197684471472,33.7202418426239
23,-24.0,-13.319927215576172,6.928197684471472,6.928197684471472,29.694698845197575
24,-16.0,-13.319927215576172,6.928197684471472,6.928197684471472,34.018099716013175
25,-8.0,-13.319927215576172,6.928197684471472,6.928197684471472,36.52812359740651
26,-0.0,-13.319927215576172,6.928197684471472,6.928197684471472,37.10372305881802
27,8.0,-13.319927215576172,6.928197684471472,6.928197684471472,36.58006725878633
28,16.0,-13.319927215576172,6.928197684471472,6.928197684471472,34.36680857314707
29,24.0,-13.319927215576172,6.928197684471472,6.928197684471472,30.243321906400734
30,-28.0,-6.391719818115234,6.928197684471472,6.928197684471472,44.412240588279815
31,-20.0,-6.391719818115234,6.928197684471472,6.928197684471472,35.30037597493876
32,-12.0,-6.391719818115234,6.928197684471472,6.928197684471472,35.9779634488681
33,-4.0,-6.391719818115234,6.928197684471472,6.928197684471472,36.72449954985677
34,3.9999932183159723,-6.391719818115234,6.92820531386791,6.92820531386791,37.10372305881802
35,12.0,-6.391719818115234,6.928197684471472,6.928197684471472,36.063009827207495
36,20.0,-6.391719818115234,6.928197684471472,6.928197684471472,35.983879354234816
37,28.0,-6.391719818115234,6.928197684471472,6.928197684471472,46.00989846057579
38,-24.0,0.5364875793457031,6.928197684471472,6.928197684471472,39.155732418856594
39,-16.0,0.5364875793457031,6.928197684471472,6.928197684471472,35.30037597493876
40,-8.0,0.5364875793457031,6.928197684471472,6.928197684471472,35.9779634488681
41,-0.0,0.5364875793457031,6.928197684471472,6.928197684471472,36.13133327975675
42,8.0,0.5364875793457031,6.928197684471472,6.928197684471472,36.063009827207495
43,16.0,0.5364875793457031,6.928197684471472,6.928197684471472,35.983879354234816
44,24.0,0.5364875793457031,6.928197684471472,6.928197684471472,40.2787716197744
45,-20.0,7.464679718017578,6.928197684471472,6.928197684471472,24.25543573010165
46,-12.0,7.464679718017578,6.928197684471472,6.928197684471472,29.44488898776918
47,-4.0,7.464679718017578,6.928197684471472,6.928197684471472,30.94993003170501
48,3.9999932183159723,7.464679718017578,6.92820531386791,6.92820531386791,31.15426420872427
49,12.0,7.464679718017578,6.928197684471472,6.928197684471472,30.0954228428709
50,20.0,7.464679718017578,6.928197684471472,6.928197684471472,25.1912733822127
51,-16.0,14.392887115478516,6.928197684471472,6.928197684471472,24.104394404218677
52,-8.0,14.392887115478516,6.928197684471472,6.928197684471472,25.480067427148278
53,-0.0,14.392887115478516,6.928197684471472,6.928197684471472,22.162480680800158
54,8.0,14.392887115478516,6.928197684471472,6.928197684471472,26.06912034238622
55,16.0,14.392887115478516,6.928197684471472,6.928197684471472,25.1912733822127
56,-12.0,21.321094512939453,6.928197684471472,6.928197684471472,23.410024071461287
57,-4.0,21.321094512939453,6.928197684471472,6.928197684471472,14.868875516409986
58,3.9999932183159723,21.321094512939453,6.92820531386791,6.92820531386791,15.396735766600544
59,12.0,21.321094512939453,6.928197684471472,6.928197684471472,24.237417050883337
60,-8.0,28.24930191040039,6.928197684471472,6.928197684471472,10.840755715575057
61,-0.0,28.24930191040039,6.928197684471472,6.928197684471472,7.668669979675369
62,8.0,28.24930191040039,6.928197684471472,6.928197684471472,11.895219260144385
63,-4.0,35.177494049072266,6.928197684471472,6.928197684471472,9.296806604526363
64,3.9999932183159723,35.177494049072266,6.92820531386791,6.92820531386791,9.296806604526363
