edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
10,9,10,8.009178843548954,-45.64604287567396,4.009178843548953,-43.33664179891546,4.618802153517008,1.1644209473487306,1.024133495834987,2.413349583498703,True,8.005255113575734,-45.556640645662846,34.10442797022094,4.234449716007003,-43.77818744514349,36.339061072717726
11,10,11,4.009178843548953,-43.33664179891546,4.009178843548953,-38.71783964539845,4.618802153517009,2.956657664311991,1.4190252548571987,41.90252548571986,True,4.234449716007003,-43.77818744514349,36.339061072717726,4.613098335111584,-40.91395220073479,30.45601095125708
12,12,13,-20.0,-29.485731995652916,-16.0,-31.795133072411417,4.618802153517005,1.0360634739553765,1.2027202313238146,20.272023132381456,False,-22.10593103955004,-31.28200119918944,27.31592369315888,-17.689708945150493,-34.013469001256944,25.342221648177045
13,12,17,-20.0,-29.485731995652916,-24.0,-31.795133072411417,4.618802153517005,3.3380483961464575,1.2850808822208617,28.50808822208617,True,-22.10593103955004,-31.28200119918944,27.31592369315888,-23.846926412253595,-31.47639530357707,32.98705356469781
14,12,39,-20.0,-29.485731995652916,-20.0,-24.86692567495048,4.618806320702436,1.3907306972383375,1.2309645757798708,23.096457577987085,False,-22.10593103955004,-31.28200119918944,27.31592369315888,-23.128828204835028,-27.566786442816024,23.13540221622824
15,13,14,-16.0,-31.795133072411417,-16.0,-36.41393522592843,4.618802153517009,2.0934881854334177,1.2452708357341142,24.527083573411424,True,-17.689708945150493,-34.013469001256944,25.342221648177045,-16.357585812017252,-36.744465352661216,30.225734241160357
16,13,18,-16.0,-31.795133072411417,-12.0,-29.485731995652916,4.618802153517005,1.497684978302957,1.3104699099798571,31.046990997985713,False,-17.689708945150493,-34.013469001256944,25.342221648177045,-14.811235262306093,-32.713052084519546,20.178917669227342
17,14,15,-16.0,-36.41393522592843,-20.0,-38.72333630268693,4.618802153517007,1.8380118200970261,1.455643978642345,45.56439786423449,True,-16.357585812017252,-36.744465352661216,30.225734241160357,-19.95335779298531,-38.961975539824735,35.456055404525216
18,14,21,-16.0,-36.41393522592843,-12.0,-38.72333630268693,4.618802153517007,1.028306222478302,1.217360167722127,21.736016772212707,True,-16.357585812017252,-36.744465352661216,30.225734241160357,-11.834307900366802,-37.97188552897113,27.1195039576012
19,15,16,-20.0,-38.72333630268693,-24.0,-36.41393522592843,4.618802153517007,1.0074760661675464,1.0486097109127248,4.860971091272481,True,-19.95335779298531,-38.961975539824735,35.456055404525216,-23.97307804019727,-36.275634898147594,35.1676470565221
