edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
48,34,37,-12.000001907348633,-12.083489853417278,-8.000001907348633,-9.774088776658775,4.618802153517006,1.2951556114695317,1.2567462701108338,25.674627011083384,False,-12.938627895355122,-12.824221994102293,23.323834545537363,-9.544034863657306,-10.529564922671858,27.435451308525224
49,35,36,-20.000001907348633,-16.702292006934286,-20.000001907348633,-12.083489853417278,4.618802153517008,2.3934169061653967,1.2469485512701188,24.694855127011884,True,-19.07652212169258,-15.576733408936752,13.140789406545412,-19.831412919776216,-12.197458668297402,17.743118181548855
50,36,53,-20.000001907348633,-12.083489853417278,-24.000001907348633,-9.774088424170612,4.618802329761097,1.1756543265407493,1.0500257685523453,5.002576855234531,True,-19.831412919776216,-12.197458668297402,17.743118181548855,-23.491322554749104,-9.247192799212993,16.55057929082124
51,37,38,-8.000001907348633,-9.774088776658775,-4.000001907348632,-12.083489853417278,4.618802153517007,1.02570612280853,1.1619777407061178,16.197774070611782,False,-9.544034863657306,-10.529564922671858,27.435451308525224,-4.583177892919675,-12.51899315042943,26.949472707888212
52,37,56,-8.000001907348633,-9.774088776658775,-8.000001907348633,-5.1552862706536065,4.618802506005169,1.168846379542591,1.2465812281102644,24.658122811026438,False,-9.544034863657306,-10.529564922671858,27.435451308525224,-9.489052407894606,-5.722003885385723,30.603350776443502
53,38,39,-4.000001907348632,-12.083489853417278,1.4834939202693828e-06,-9.774088776658775,4.618805090073108,1.1145149804111325,1.1999630430563555,19.996304305635547,False,-4.583177892919675,-12.51899315042943,26.949472707888212,-0.14836857628098984,-10.284158119696647,29.41039237423327
54,39,40,1.4834939202693828e-06,-9.774088776658775,4.000001483493921,-12.083489853417278,4.618802153517006,1.1136115652403011,1.1931075096986423,19.31075096986423,False,-0.14836857628098984,-10.284158119696647,29.41039237423327,4.311051728189731,-12.48505338074625,27.035998016742926
55,39,58,1.4834939202693828e-06,-9.774088776658775,-1.9073486319243216e-06,-5.1552862706536065,4.618802506006413,1.1573824095424599,1.2260331824388158,22.603318243881574,False,-0.14836857628098984,-10.284158119696647,29.41039237423327,-0.10179161313318849,-5.432400395568401,32.33026216164831
56,40,41,4.000001483493921,-12.083489853417278,7.999998092651368,-9.774088776658775,4.618799216961527,1.025432986243387,1.1629481540342328,16.29481540342328,False,4.311051728189731,-12.48505338074625,27.035998016742926,9.238956385789367,-10.430004356945043,27.62313107884066
57,41,42,7.999998092651368,-9.774088776658775,11.999998092651369,-12.083489853417278,4.618802153517007,1.2963003832705682,1.2330379990034974,23.30379990034974,False,9.238956385789367,-10.430004356945043,27.62313107884066,12.623666748129997,-12.712310868857475,23.65202999335747
58,41,50,7.999998092651368,-9.774088776658775,7.999998299868639,-5.155286685937705,4.618802090721075,1.16867226284207,1.2331245679301748,23.31245679301748,False,9.238956385789367,-10.430004356945043,27.62313107884066,9.363785289433448,-5.634580801308916,30.69358957644249
59,42,43,11.999998092651369,-12.083489853417278,11.999998092651369,-16.702292006934286,4.618802153517008,1.4466034993001042,1.2098131573565727,20.98131573565727,True,12.623666748129997,-12.712310868857475,23.65202999335747,12.245705950147038,-16.692703303471017,19.748427847022402
60,42,44,11.999998092651369,-12.083489853417278,15.999998092651369,-9.774088776658775,4.618802153517006,1.0019519265508496,1.1561665414596132,15.616654145961316,False,12.623666748129997,-12.712310868857475,23.65202999335747,17.362310644233585,-10.418797682568272,22.75661529380629
61,43,47,11.999998092651369,-16.702292006934286,15.999998092651369,-19.011693083692787,4.618802153517005,1.7182526911869622,1.2519818213864014,25.198182138640135,True,12.245705950147038,-16.692703303471017,19.748427847022402,15.348144524818544,-18.32618643340715,15.14998006351032
62,44,45,15.999998092651369,-9.774088776658775,19.99999809265137,-12.083489853417278,4.618802153517008,1.770594687970906,1.2462588611613965,24.62588611613965,True,17.362310644233585,-10.418797682568272,22.75661529380629,19.797131699166886,-12.164655695374176,17.841563845238127
