id,original_hole_size,hole_size,baseline_demand,candidate_demand,original_ligament_width,ligament_width,delta,risk_original,risk_candidate
0,6.92820531386791,6.928205483215771,7.232870119681567,7.208238571032699,1.0719927609767472,1.0719927609767472,-0.024631548648867962,LOW,LOW
1,6.92820531386791,6.928206118998412,7.232870119681567,7.208238571032699,1.0719922579124215,1.0719922579124215,-0.024631548648867962,LOW,LOW
2,6.928209718700821,6.928209018783423,33.78801653786241,33.80285144484587,1.071993786583705,1.0735368577422821,0.014834906983459462,CRITICAL,CRITICAL
3,6.928205904001227,6.928205904001227,14.527859950004117,14.727687152127288,1.0719943009181172,1.0720095189248886,0.19982720212317062,MODERATE,MODERATE
4,6.928209718700821,6.928209654565739,34.06886981161878,34.11057396321133,1.0719925912158732,1.073626053608635,0.04170415159254759,CRITICAL,CRITICAL
5,6.92820531386791,6.909693732626636,51.41990946418014,50.72139320179825,1.0719922529497603,1.0866036260742282,-0.6985162623818866,CRITICAL,CRITICAL
6,6.92820531386791,6.92820531386791,25.045425357035846,25.33738044702476,1.0719930293523616,1.0760416639075043,0.29195508998891384,HIGH,HIGH
7,6.92820531386791,6.928022697759188,25.056279979186137,25.377171913356776,1.0719926872245116,1.0762732485243565,0.3208919341706391,HIGH,HIGH
8,6.92820531386791,6.908786325453179,51.52497409191001,50.95793280766821,1.071992329147607,1.0873138898493322,-0.5670412842418031,CRITICAL,CRITICAL
9,6.928209718700821,6.883833258266136,60.61300109570518,60.83677541464263,1.0719931389187856,1.1048537486029073,0.22377431893745126,CRITICAL,CRITICAL
10,6.928209718700821,6.9083264913825415,38.21293643453703,38.15858281773512,1.0719937907832797,1.091847278815805,-0.054353616801904536,CRITICAL,CRITICAL
11,6.928209718700821,6.9073638542572935,38.320735475473924,38.296320486041324,1.071992519217525,1.0927958953799035,-0.02441498943260001,CRITICAL,CRITICAL
12,6.928209718700821,6.881895375846506,60.210992976095,60.24195351915829,1.0719928789750786,1.106414428799572,0.030960543063287105,CRITICAL,CRITICAL
13,6.928205904001227,6.918199729534278,22.91284564880398,23.333476705350375,1.0719943009180966,1.0827995584688124,0.42063105654639443,HIGH,HIGH
14,6.92820531386791,6.870538668669687,55.18199991241677,53.599697806624306,1.0719926872244347,1.1156369651728333,-1.5823021057924649,CRITICAL,CRITICAL
15,6.92820531386791,6.896192770761775,41.087604934347,41.12169005586346,1.0719935641958354,1.1037886654000524,0.034085121516461925,CRITICAL,CRITICAL
16,6.92820531386791,6.9141715620574296,29.855498462357776,30.254049233704407,1.0719930293523594,1.087159472283788,0.3985507713466312,HIGH,CRITICAL
17,6.92820531386791,6.913524711750857,30.255428541676444,30.607291818334946,1.0719926872245087,1.0877849426355977,0.35186327665850214,CRITICAL,CRITICAL
18,6.92820531386791,6.894244693208659,42.107735541097945,41.796741180597465,1.0719933696758897,1.1056801887467567,-0.3109943605004801,CRITICAL,CRITICAL
19,6.92820531386791,6.86725592143378,55.5720623916216,53.78556485173043,1.0719926872244347,1.1181968736870227,-1.7864975398911724,CRITICAL,CRITICAL
20,6.9282034065195885,6.8650877192861754,53.24135520452127,51.65806230409971,1.0719956964877673,1.1210391013220464,-1.5832929004215615,CRITICAL,CRITICAL
21,6.92820531386791,6.889978544203923,40.99664623029715,40.8305665903679,1.0719951746567835,1.1104955516794817,-0.1660796399292508,CRITICAL,CRITICAL
22,6.92820531386791,6.91291571310371,31.35983938734448,31.628864810192535,1.0719961612070108,1.0889477965104932,0.2690254228480562,CRITICAL,CRITICAL
23,6.928201499170742,6.9222788662850165,26.312630052151476,26.83749306889687,1.071996503334636,1.080381061206829,0.5248630167453925,HIGH,HIGH
24,6.92820531386791,6.911550923084912,31.562329447988557,31.709216645834882,1.071994889641333,1.090263946507881,0.14688719784632553,CRITICAL,CRITICAL
25,6.92820531386791,6.8871636375075225,42.107735541097945,41.796741180597465,1.0719952400805208,1.1132154314564202,-0.3109943605004801,CRITICAL,CRITICAL
26,6.92820531386791,6.860768072455559,55.152813273097244,53.94700338307166,1.0719948896412637,1.1240000367142406,-1.2058098900255843,CRITICAL,CRITICAL
27,6.92819900168509,6.859295453489678,53.24135520452127,51.65806230409971,1.0719987057503622,1.120224196563963,-1.5832929004215615,CRITICAL,CRITICAL
28,6.928200909032199,6.883171089061029,38.47473753269674,38.048821718700275,1.0719970920581037,1.1176932986609962,-0.4259158139964683,CRITICAL,CRITICAL
29,6.928200909032199,6.908667845178513,31.35983938734448,31.628864810192535,1.0719961828387314,1.0934401738616855,0.2690254228480562,CRITICAL,CRITICAL
30,6.928200909032199,6.926247643602215,25.878411108048894,26.457491505566377,1.0719974341854013,1.0772719256427175,0.5790803975174832,HIGH,HIGH
31,6.928200909032199,6.925733626004052,26.312630052151476,26.83749306889687,1.0719970920581574,1.0777898707992868,0.5248630167453925,HIGH,HIGH
32,6.928200909032199,6.906971379559404,31.562329447988557,31.709216645834882,1.071996182838732,1.0951234399831486,0.14688719784632553,CRITICAL,CRITICAL
33,6.928200909032199,6.8800356186972635,39.4176013353656,38.59532341065193,1.0719970920580806,1.1204106027372955,-0.8222779247136742,CRITICAL,CRITICAL
34,6.928200909032199,6.858918899941877,55.152813273097244,53.94700338307166,1.07199836362384,1.1212828613794497,-1.2058098900255843,CRITICAL,CRITICAL
35,6.9282034065195885,6.871064366650195,40.84431918870557,40.37204689663054,1.0719978989043935,1.1225522436119157,-0.47227229207502575,CRITICAL,CRITICAL
36,6.92820531386791,6.896947906492734,32.99508978240675,33.05213472349027,1.0719960483044464,1.1046329938043404,0.0570449410835181,CRITICAL,CRITICAL
37,6.92820531386791,6.919843608547295,27.149654854526784,27.43923232444716,1.071998363623835,1.0833154328979708,0.2895774699203777,HIGH,HIGH
38,6.928201499170742,6.928201499170742,25.238208389933114,25.804112337719797,1.0719987057511569,1.0751834157736493,0.5659039477866834,HIGH,HIGH
39,6.92820531386791,6.9192555030476415,26.61602761559505,26.946331477007355,1.0719970920581574,1.0839692858212555,0.33030386141230395,HIGH,HIGH
40,6.92820531386791,6.895344799386457,32.30534153448972,32.27037811151136,1.0719960483044233,1.1062897749243035,-0.03496342297835753,CRITICAL,CRITICAL
41,6.92820531386791,6.868085953017161,41.462636636477356,40.578303985323274,1.0719970920580815,1.124584774701194,-0.8843326511540823,CRITICAL,CRITICAL
42,6.9282034065195885,6.858921372454393,56.96122578750564,55.45194194988059,1.071998705750466,1.12119317223521,-1.5092838376250484,CRITICAL,CRITICAL
43,6.92820531386791,6.878860168639674,45.122977293565626,45.03705830992617,1.071997092058105,1.121255543625328,-0.08591898363945916,CRITICAL,CRITICAL
44,6.92820531386791,6.903527677508004,32.99508978240675,33.05213472349027,1.0719969200581752,1.0982195664402552,0.0570449410835181,CRITICAL,CRITICAL
45,6.92820531386791,6.91999208191407,26.42331300477736,26.831976709220683,1.0719974341851,1.0830485602658186,0.4086637044433239,HIGH,HIGH
46,6.92820531386791,6.919934090808396,25.72200823274993,26.17504299782565,1.071997092058159,1.0831611733068969,0.4530347650757207,HIGH,HIGH
47,6.92820531386791,6.903066397436552,32.30534153448972,32.27037811151136,1.0719969200581756,1.09878939227311,-0.03496342297835753,CRITICAL,CRITICAL
48,6.92820531386791,6.877459091138155,45.33727235932516,44.87463782844709,1.0719970920580824,1.1225038681274497,-0.46263453087806994,CRITICAL,CRITICAL
49,6.92820531386791,6.858923260729232,57.92841240329927,55.44507817567783,1.0719983636239285,1.1216516929034783,-2.483334227621441,CRITICAL,CRITICAL
50,6.9282034065195885,6.860046224852359,56.96122578750564,55.45194194988059,1.0719934940705953,1.124775604868163,-1.5092838376250484,CRITICAL,CRITICAL
51,6.92820531386791,6.883688052787718,45.122977293565626,45.03705830992617,1.0719929151552272,1.1167330333150647,-0.08591898363945916,CRITICAL,CRITICAL
52,6.92820531386791,6.903296191312255,31.812598291866422,31.775907282340675,1.0719939587901888,1.098217362451635,-0.036691009525746665,CRITICAL,CRITICAL
53,6.928201499170742,6.911087075929705,31.812598291866422,31.775907282340675,1.071994300917207,1.0909628092796273,-0.036691009525746665,CRITICAL,CRITICAL
54,6.92820531386791,6.903280063096722,31.71375307681952,31.63541013087652,1.071992687224511,1.0983063997893396,-0.07834294594299962,CRITICAL,CRITICAL
55,6.92820531386791,6.883284232696988,45.33727235932516,44.87463782844709,1.0719929151552041,1.1172207782918182,-0.46263453087806994,CRITICAL,CRITICAL
56,6.92820531386791,6.858923260729232,57.92841240329927,55.44507817567783,1.0719926872244336,1.125517627586383,-2.483334227621441,CRITICAL,CRITICAL
57,6.92820531386791,6.8669075031261775,51.91783557338594,50.722757528050956,1.0719927821523416,1.1154806994873243,-1.1950780453349878,CRITICAL,CRITICAL
58,6.92820531386791,6.886811610636702,34.62357092902455,34.28527633278773,1.0719923280817345,1.10929976715138,-0.3382945962368211,CRITICAL,CRITICAL
59,6.92820531386791,6.898895452570957,47.841876699543675,47.34535861106417,1.071993029351453,1.0993243931053123,-0.4965180884795046,CRITICAL,CRITICAL
60,6.92820531386791,6.8988984462965055,47.841876699543675,47.34535861106417,1.071992687224512,1.0993392769415407,-0.4965180884795046,CRITICAL,CRITICAL
61,6.92820531386791,6.886744774853531,34.787089956280504,33.66195453684047,1.0719923280817343,1.1094074505138418,-1.125135419440035,CRITICAL,CRITICAL
62,6.92820531386791,6.866547691585358,50.661925239537766,48.44540618746302,1.0719927821523196,1.1157935656786022,-2.2165190520747444,CRITICAL,CRITICAL
63,6.918536074040185,6.824421424669171,33.78553941735139,33.340005905105976,1.071995987987199,1.0975865699826672,-0.4455335122454116,CRITICAL,CRITICAL
64,6.918536074040185,6.824323551220449,34.583371824414485,33.92263087952383,1.0719957254110022,1.097648458934177,-0.6607409448906552,CRITICAL,CRITICAL
