id,parent,width,demand,delta,xy_feed
0,0,1.127924670744952,39.09717685708245,20.061925150175753,2.650063201415267
1,1,1.1289061813149313,12.544699564065809,2.1291788412207246,1.6548049287345838
2,2,1.1364212684665256,34.835331567931725,18.63725716279536,3.46991706879024
3,3,1.2674256620332351,1.4313157892555495,0.80526740216178,2.5822141517346564
4,4,1.1084190728870447,37.305594061102965,18.432086759809764,3.241394117490209
5,5,1.091826821839562,3.0098291253155995,1.9440789886878918,3.0300642486016454
6,6,1.1008115251911403,8.589035546314182,8.589035546314182,3.4350146308581424
7,7,1.109965746953904,7.7675028697643755,7.7675028697643755,1.9919062613104705
8,8,1.11761958081849,12.551400821199366,2.5106545103833042,0.9404570509587664
9,9,1.130933383009477,12.388644817823868,1.957051316140479,1.673203655467342
10,10,1.1291152638400572,38.988387730162486,19.76533643570497,2.654486299262862
11,11,1.1378669942411808,34.852654581344744,18.412333773334577,3.4755236556619327
12,12,1.1112904999826405,7.578205732480292,7.578205732480292,2.0181257797561267
13,13,1.1197271150890888,12.193159103096018,1.878281660866099,0.9686747917804941
14,14,1.1021398636971973,8.43181365896275,8.43181365896275,3.4821189378801787
15,15,1.093158680443247,3.067786398132699,2.6001746679236826,3.0901299707786825
16,16,1.4090561369497436,1.3307341956618535,1.0817175684225688,2.6074194564501503
17,17,1.1091620968550482,37.08220052494278,17.804599976314627,3.245409987806681
18,18,1.1554313578340056,22.94638563918494,4.351572861849839,2.7521454038512028
19,19,1.159830338976216,36.39113333749808,7.759334489329682,1.760569342482611
20,20,1.1635403521743228,23.34166814880927,5.605174476198506,3.4756479028617813
21,21,1.1423698507554132,11.980482067528841,5.488499272026681,1.899307595713088
22,22,1.1534863143998817,27.364195544912494,5.288434351654889,3.3224455260128707
23,23,1.123573085574935,15.22324458595612,2.219916269787614,2.412574867183724
24,24,1.1235738755644256,17.875792823534553,2.4679737964192547,2.0792734010089537
25,25,1.1235833645693027,20.26544670952537,0.7298992057613418,0.5744300681697256
26,26,1.1390975537821455,29.079115310310954,6.319476761046893,0.3725499354879874
27,27,1.1509501003500366,27.869192261598762,6.6699643133290465,4.178707121314205
28,28,1.1582959726457727,26.278082530930845,8.452102962675422,4.423583781508539
29,29,1.1500028243153002,27.631604426514645,6.725704036635705,4.643014631717949
30,30,1.1497397407302963,33.05580276441808,9.59698244034599,5.15125296057481
31,31,1.1556833727950804,35.98163975735924,12.5173812364608,5.09720210241583
32,32,1.1334709038387316,50.281384450842026,25.365270527519446,4.5694863137220425
33,33,1.149985168389433,32.48041575274567,8.936793343449722,5.149126683473908
34,34,1.1518236886211355,27.59842715394294,6.30407754963025,4.646087713957616
35,35,1.1572423013675528,35.84410156464439,12.220562122015984,5.091268084151435
36,36,1.1532184837886224,27.55830840591762,6.166455102140489,4.183652330345052
37,37,1.157084255071882,27.200648856952192,4.73985925190825,3.3182175141192243
38,38,1.1617141384142045,26.180617708464936,8.137366968274428,4.41782225551909
39,39,1.1462481217954004,11.964604602105444,5.32236056526374,1.9055599757492567
40,40,1.1593853751741752,22.582730369031935,3.694668940126469,2.743045890522846
41,41,1.1267488498485432,15.136166339048373,1.741303021207429,2.4048114212162095
42,42,1.1647998007187959,36.19916020960581,7.184635220040093,1.7260715360329477
43,43,1.1684163630540496,23.26149927913932,5.3294204898332005,3.4623959864637524
44,44,1.1267591250297535,19.79212719600163,0.2978539047207036,0.5494687753509342
45,45,1.1430084274335202,29.081130481786776,5.987538425446946,0.36642279574182984
46,46,1.1267478527400492,17.571020530341297,1.6883136323176728,2.065694575307785
47,47,1.175181003314214,25.908979285041234,4.152677997265954,3.8747712792196465
48,48,1.178389245161296,44.13424883593595,11.142736908734214,2.4055931567335405
49,49,1.1817982637953328,27.804398244014127,5.5561727547774,3.871720253435609
50,50,1.1737146762668127,37.91102384890408,7.070489678683668,4.567008153493415
51,51,1.1391022037745309,28.978073609058953,4.981140525335672,0.6184503733810518
52,52,1.1524856308847922,25.588054861856403,2.2716223385951935,1.0054439999871332
53,53,1.172157848006941,26.96125922017316,1.549603706612789,4.944643909978505
54,54,1.1780710836701935,26.79193175709047,3.9527173201466574,5.004111169190943
55,55,1.1713124433236561,31.610863543516345,2.5651830838252323,4.875225193806084
56,56,1.1713598249184105,29.537666503752714,0.9596335587826594,5.084536004309632
57,57,1.1766448449715154,29.27781038279964,3.8529589257625823,4.7371573346125775
58,58,1.1712721303900782,30.409066173757115,1.3636538069883066,5.0372970418317955
59,59,1.1721081738891608,30.674233749531155,1.2875637757195904,5.033489300668304
