id,parent,width,demand,delta,xy_feed
0,0,1.0507538808325458,2.8464589277606756,-1.4969590136606925,0.7017454453140943
1,1,1.0507528749757713,9.91107287744204,4.418805266643977,0.9198194095147734
2,2,1.050760227294921,7.270069121819689,2.5149383264356784,0.9968195746951639
3,3,1.0507527504882812,4.535524905914845,-2.697345213766722,0.43913750160536025
4,4,1.0507528749757755,2.779635000441494,-1.5433800527661967,0.7398430847740838
5,5,1.0507538808325378,3.3168579406983367,-1.643767048854916,0.24654033340185538
6,6,1.0507528749757808,3.3549754959863565,-1.6332463206825354,0.28908511040081797
7,7,1.050751296925847,3.6856583292660394,0.39324759861141256,0.571232588595298
8,8,1.0507527504882805,4.001029083582286,0.35252963335872245,0.9819037209994821
9,9,1.0507534280561293,9.94691127269074,3.2613704616297534,1.0927802714588146
10,10,1.0507528749757713,9.309344793392338,3.819909564476931,1.0189467890418928
11,11,1.0507527504885639,7.329412820610037,2.5719976754948304,0.9850399996313445
12,12,1.0507527504882797,4.051472432887149,0.41251179048888975,1.112931889230374
13,13,1.0507534280561293,8.406515922177359,1.8146371807063124,1.2874092709612253
14,14,1.0507503506211364,3.4532708987616623,0.16313768656146532,0.6837757937580226
15,15,1.0507528749757782,11.882426110182443,-6.478742003128723,1.1881946249206274
16,16,1.0507513093213015,48.63103157451303,14.84301503665062,1.5276108355075415
17,17,1.0507527504882805,22.161719475818465,9.049454818347492,1.1032586743204795
18,18,1.0507538808309393,10.04087433381975,-4.406285453770865,0.9267344580443742
19,19,1.0507527504882788,4.474426376394169,-0.8172161604562467,1.5091966472261191
20,20,1.0507528749757866,79.65661891525728,36.503535509252316,1.3042231958735164
21,21,1.0507528749757786,9.121649452135895,-5.406210497868223,0.8768572435205653
22,22,1.050752750488564,13.818213638431898,4.739364706173999,0.7112235774202093
23,23,1.0507528749759474,10.042767028965095,-8.286197939398885,0.9377259196068568
24,24,1.0507517573646337,42.12039056354644,8.051520751927654,1.2095695364219181
25,25,1.0507527504882797,20.239673569767437,6.832695067411555,0.793097181052544
26,26,1.0507527504882788,4.061909157793697,-1.0341656092232698,1.525346098365738
27,27,1.0507528749757955,71.67896223394794,28.07613734284149,1.139127668456434
28,28,1.0507518870951582,17.184046195975576,-4.649465250923026,1.3691369150235206
29,29,1.050752874975778,77.81372026875096,26.39381080457082,1.610963036887048
30,30,1.0507527504882788,47.427064092129,15.473631992590132,1.585915202389665
31,31,1.0507528749757788,24.77690667471,-0.26851868232584764,0.8352988163532953
32,32,1.0507527504882788,68.69528666985299,38.46575477562051,1.1216971565499818
33,33,1.0507528749758002,36.7219447023657,4.126458275437052,1.0095162324883467
34,34,1.050753880832545,8.590206679197298,-6.660079975790101,0.7047238863292782
35,35,1.050760227294921,26.066246279529604,7.278463601672058,0.6130302072421983
36,36,1.0507528749757788,9.215274944488726,-5.937693787726129,0.5597532488168507
37,37,1.0507528749757788,22.93264912371018,-2.1236308554759553,0.580758176362894
38,38,1.0507527504882805,25.39450705488293,6.517755071151242,0.3567613204988903
39,39,1.0507518870951582,16.19300013889291,-5.21217392293827,1.0800453211682997
40,40,1.050752874975778,72.92847844802594,21.40350435611593,1.2707416493386836
41,41,1.0507527504882788,44.123651478354844,11.936707536176286,1.2926407740574493
42,42,1.0507527504882788,59.037820191422696,28.03605761857586,0.9133516412574438
43,43,1.0507528749757984,48.1268029298864,16.475100591746262,0.8337072948746234
44,44,1.0507555309385506,12.95645619578021,-6.58732793059653,1.7521400940149898
45,45,1.0507528749757724,81.12884562464022,25.94684571222345,1.9209212637941877
46,46,1.0507527504882788,41.520165474114364,0.4325605397673655,1.8905332176353888
47,47,1.0507528749757709,39.003908261151366,0.7909718266143386,1.33112793404632
48,48,1.0507527504882788,87.54851000100427,26.935508905299095,1.1532495677701613
49,49,1.0507528749757937,12.882512859892902,-0.7074052336751642,1.2364300387549183
50,50,1.0507528749757709,8.40500945089422,-9.021825865865328,0.8920810375690785
51,51,1.0507527504882805,21.998982468605032,-6.1985366801137225,1.1240994147496088
52,52,1.0507538808309393,15.416624335409335,-7.399906185651805,0.3832321951480678
53,53,1.0507528749757709,36.86201344414932,-1.458722031324605,1.10521991173511
54,54,1.0507528749757749,8.67565918500961,-8.682182084681589,0.6686276029819567
55,55,1.0507527504882797,20.904182216358702,-7.527290747074744,0.9450268598207692
56,56,1.0507540024695516,14.39289620454507,-4.9016830338416195,1.6123582306729294
57,57,1.0507528749759425,14.367789398856035,-8.545056249947946,0.2719339459171872
58,58,1.0507528749757724,80.947002276252,25.374939884630393,1.884263613772362
59,59,1.0507527504882788,40.93518937565881,-0.5579943875300373,1.8514605240713542
60,60,1.0507527504882788,90.03517770575004,29.824184729655045,1.127511802692822
61,61,1.0507528749757955,13.29105502436947,-1.1601639209064096,1.238560334403834
62,62,1.0507527504885645,15.493752657288695,-7.521937890212715,0.29418150497348095
63,63,1.050752874975772,17.470594035503815,-7.359775663044378,1.68660352046434
64,64,1.0507528749757746,59.502149545767494,14.606700934122912,1.5409173761719253
65,65,1.050752750488346,21.224906131740795,-4.583678497192189,1.5671355697350426
66,66,1.0507553756048547,31.119722080885293,-9.87692414941186,1.533755323878728
67,67,1.0507527504882788,39.85228910554699,20.134830884574793,1.060355848303705
68,68,1.0507533779033917,56.625369692551565,8.864876911819607,1.2901625456633634
69,69,1.0507528749757713,8.286732698791965,-14.159623039486256,1.188333680961618
70,70,1.0507527504882788,13.720901655404582,-13.466942454375186,1.2266285610119358
71,71,1.0507528749757733,14.081227785184613,-15.774270677173163,0.8274525765950513
72,72,1.0507538808325398,6.930529760677162,-16.324075663246965,0.5063835092399342
73,73,1.050760227294921,8.64562703665439,-14.718475652126008,0.6062569319414518
74,74,1.0507528749757729,7.126830718821187,-15.889441026050367,0.4544734541763037
75,75,1.0507528749757729,13.602607796090904,-16.65282074558554,0.7086251519588225
76,76,1.050752750488564,8.448377744352808,-15.039601425644733,0.5210857709188774
77,77,1.0507528749757713,8.467926566803996,-14.068500423604014,1.1009960878939742
78,78,1.0507557602965674,31.323287534277135,-10.78444800682081,1.5002914332067396
79,79,1.0507527504882788,13.681385895838915,-14.080725601502287,1.1811824518304244
80,80,1.0507528749757735,17.99034336379133,-8.04165527548728,1.697593310707087
81,81,1.0507528749757746,61.67620749040839,14.227030270420208,1.6037053775569619
82,82,1.0507527504882788,22.147316692674114,-5.2614173621999605,1.5701731862037978
83,83,1.0507527504882788,38.4202460926613,17.405341088958057,1.111869311552701
84,84,1.0507528749758137,64.34399537400417,18.468603382237518,1.4483831966185905
85,85,1.0507593500812402,34.64067745012549,-1.4965909328703404,1.6156928197302776
86,86,1.0507598530077116,80.29442521332837,27.053070008807097,1.7200010831903096
87,87,1.0507527504882788,20.58278570087584,-2.1787894966374566,1.3148916498509529
88,88,1.0507593500813053,28.772836983735118,-9.701900548961625,1.3409859177008785
89,89,1.0507564888916008,30.423133580624008,1.5384636378859007,1.4206890026865127
90,90,1.050759853006769,99.62200036284521,55.68829185369151,1.0836357998050665
91,91,1.0507585253433196,11.580444271040346,-15.709545813089854,1.1533271055633834
92,92,1.0507527504882788,9.5942828591141,-13.633185714525743,1.0430986799463966
93,93,1.0507593500812364,12.746930928713418,-18.61290845863106,0.918653672682244
94,94,1.0507593500812369,5.694426736093416,-19.03935065482374,0.6591631479783265
95,95,1.0507527504882805,5.862334217058307,-17.330186120818468,0.6728121479603948
96,96,1.0507603559346197,6.288186066432067,-19.590225041616826,0.45424738589697117
97,97,1.0507593500812369,6.186392831330423,-20.126237220821054,0.4209862799380273
98,98,1.050752750488564,4.632842524315728,-17.888897890509604,0.3180802940086
99,99,1.050759350081409,5.717321451768176,-18.577464941477984,0.5992819269987077
100,100,1.050759350081236,12.718203154797436,-18.84412629319112,0.867007671975103
101,101,1.0507527504882797,5.864343450965515,-17.34981170072676,0.6184774684826967
102,102,1.0507585253433198,11.415965670378636,-15.450003489166921,1.1082976558926438
103,103,1.050759350081238,28.531914084902944,-10.88568725046266,1.29998651276567
104,104,1.0507527504882788,9.650200600210535,-13.89721603709393,0.9941236499553754
105,105,1.0507593500812398,33.208184579176645,-2.326265659175462,1.565129442290342
106,106,1.0507593500812398,78.56359909218091,23.410785819083664,1.6297663992694993
107,107,1.0507527504882788,21.075172178217617,-4.30014334007782,1.2562813592346689
108,108,1.0507527504882788,39.33289882848838,6.621321671278714,1.4794879622445838
109,109,1.0507593500812573,96.54365991268772,49.0425988565895,0.8984767238729505
110,110,1.0507598530076256,40.687793729370966,9.136024511137862,0.5383897669549652
111,111,1.0507598530068172,56.170993251489975,27.39543034385028,0.8047934182917492
112,112,1.0507564888916008,25.17745609226605,1.9404625501457957,0.5674722731197123
113,113,1.0507593500813015,28.363319501997708,-4.472262897603876,0.7848159535686994
114,114,1.0507602272949228,67.29741312094335,37.50296135324111,0.944930017802494
115,115,1.0507593500812376,18.564191174513844,-12.511245991823184,0.7877298856935422
116,116,1.050752750488346,12.941846340085261,-10.242545080645504,0.8553119392620876
117,117,1.0507548286093842,12.326411906623402,-16.409336687666,0.7159474112424034
118,118,1.050759350081236,8.144769486834115,-19.00488536769267,0.580334312137541
119,119,1.0507527504882788,7.086230976310537,-15.974147880712254,0.6264171836941734
120,120,1.050759350081236,5.867145267170226,-19.870209668096404,0.42209314990422725
121,121,1.0507603559362202,4.665897817877784,-20.57231057205533,0.2722770580337878
122,122,1.050760227294921,5.108600882618886,-17.907745677329046,0.26974268483349245
123,123,1.050759350081236,4.685480400773123,-20.017659752447827,0.24737529126676766
124,124,1.050759350081236,5.852328684797525,-20.340124509462676,0.369476818680184
125,125,1.0507527504885639,5.142267954256474,-17.786206415726234,0.21357679703133303
126,126,1.050759350081236,8.06531020543324,-18.55071741016181,0.5228516316042321
127,127,1.0507548286093842,12.221528731705344,-16.900226651506166,0.65720782915937
128,128,1.0507527504882788,7.076778789537808,-15.759633116920146,0.5514618576103139
129,129,1.0507593500812376,18.069638762450204,-13.046533785602897,0.7195130011067097
130,130,1.050759350081239,27.803347176390545,-5.544432122727599,0.7165277808613311
131,131,1.0507527504882788,12.752037496443936,-11.08446784404724,0.7577139414485463
132,132,1.050759350081239,38.367913145052235,8.015423587990501,0.43313262819438947
133,133,1.050759350081239,54.28771135569026,24.34951037153488,0.74681144365831
134,134,1.0507527504882752,23.751598562686603,1.0035472204127807,0.4481099644453566
135,135,1.0507602272949228,68.29577401816786,32.2225625518097,0.8386704993020406
136,136,1.050759350081239,42.39665219933257,1.5523330106270024,0.9498165672539889
137,137,1.050759853007715,37.67938810156433,10.782971858833946,0.9084030877253477
138,138,1.0507527504882788,44.3669580841082,11.578688385063728,1.3588984834983933
139,139,1.0507593500813033,15.861883197483383,-10.090809046716554,0.7988889495556124
140,140,1.050759853007367,83.04955635865181,41.372097287349966,1.4348478082164875
141,141,1.0507577342815806,17.973871844170564,-15.021217938236187,0.6417766684388371
142,142,1.0507527504882788,17.978307630004675,-8.423139833384585,0.9136211907127316
143,143,1.0507593500812344,6.862291938417142,-17.011573415477876,0.48485147908676784
144,144,1.0507593500812384,7.933206074561716,-18.490106930215642,0.28641814245940067
145,145,1.0507527504882805,10.65189554626711,-14.280525706002823,0.40527764643753533
146,146,1.0507603559346168,4.995586060347512,-18.532298444840766,0.16449830972902646
147,147,1.050759350081236,4.997269021112083,-19.021056393053982,0.1332341886938872
148,148,1.0507527504885643,9.800182302791516,-15.89269962020261,0.18106281505911487
149,149,1.0507593500814068,7.911832218172021,-17.810176014577905,0.2246963151028882
150,150,1.050759350081233,6.78603609064552,-17.50892411850611,0.40920656275782097
151,151,1.0507527504882797,10.769524785302153,-14.097949612195862,0.3516955777400782
152,152,1.0507577342815806,17.614338725772647,-14.691002808717073,0.5496819459196567
153,153,1.0507593500812424,15.383345111353242,-11.240751138353831,0.6936288578105494
154,154,1.0507527504882788,17.416239658091914,-8.68337310272982,0.7988058729982301
155,155,1.0507593500812409,40.65614868422707,-0.8064879522502864,0.843547930062835
156,156,1.0507593500812422,35.35477461852263,12.095570826544776,0.8173391057265871
157,157,1.0507527504882788,40.5119112437428,5.47481930564566,1.2081371298731514
158,158,1.0507593500817751,77.01182681644099,39.78385182884667,1.4744563806296265
159,159,1.0507598530067372,111.39774862084586,54.43652283334022,1.141630076294136
160,160,1.0507598530077134,68.58075363929488,33.00501801393899,0.6078286545977646
161,161,1.0507564888915972,67.72323491514283,32.26267197862453,0.5468073554901736
162,162,1.0507593500813108,37.242598454263074,7.282519517696095,1.44430285624354
163,163,1.0507602272949228,92.01940450190156,49.59620725069636,1.3515417822931617
164,164,1.0507593500812422,46.8832780281432,1.7603007345775765,1.1499531811562549
165,165,1.0507527504883496,50.73164644492558,17.74070036187849,1.258794475122011
166,166,1.050759954521447,12.091685618749871,-11.107001156576125,0.8573579269335951
167,167,1.050759350081239,18.714321756713126,-11.646737032814759,0.505939572010468
168,168,1.0507527504882788,25.732644919952353,-1.1833437615963014,0.5924531153783403
169,169,1.0507593500812396,7.36455474630604,-14.56416339952522,0.4709472197396887
170,170,1.0507603559344418,9.832134965932205,-14.646821729443069,0.3686522210916424
171,171,1.050760227294921,22.662543430810047,-9.150054861056375,0.5070491149546277
172,172,1.0507593500812396,9.830841564338755,-13.778989746529025,0.3712165995249477
173,173,1.0507593500812396,7.3859500688931545,-14.855178926614165,0.45038723579691
174,174,1.0507527504885632,22.70102065582207,-9.012732420997448,0.5272544517658748
175,175,1.050759350081239,18.754216530707858,-10.501356728208332,0.4538932155827393
176,176,1.050759954521451,11.576179430625189,-11.59376684525526,0.7605281276790556
177,177,1.0507527504882788,26.31241259895023,-0.48593627421078267,0.5319938698576523
178,178,1.0507593500812422,44.754834554939826,-0.5824378043853358,1.0029098390981275
179,179,1.0507593500812422,34.2426435044564,3.403593897853739,1.262322023720763
180,180,1.0507527504882788,47.511071323009936,14.515699704008014,1.0501208167322176
181,181,1.0507593500812422,99.17673957974364,41.24832717644437,1.0304172548503887
182,182,1.050759350081244,58.38645358289636,20.774593649965723,0.7304706583652403
183,183,1.0507527504882788,61.29071083746356,16.66201542616608,0.6593743586996752
184,184,1.0507602272949228,79.94489510337948,35.52650438824998,1.5653078082910425
185,185,1.0507463998703088,100.09430138451734,48.17646581113139,0.8323813266450535
186,186,1.0507469027967813,59.42860446983258,26.19071537334507,0.42306698696262024
187,187,1.0507527504883496,59.57772519915725,23.04821648175259,0.444892955780415
188,188,1.050746399870375,28.155881704556673,2.5165069501116086,1.0009680980072329
189,189,1.050747135663029,43.970632083762816,9.7117500276348,0.6272219924862221
190,190,1.0507527504882788,49.458142272198245,26.695708483382294,0.8145007000504716
191,191,1.0507463998703177,11.321370780159024,-8.201245067101047,0.5678364167178073
192,192,1.0507463998703097,22.69712544106315,-2.6092094308240092,0.5174247685648738
193,193,1.0507527504882805,49.81222407094774,15.18865314192319,0.37247133596015564
194,194,1.0507474057236947,19.070885452629117,-6.373260119858745,0.858353610569196
195,195,1.0507463998703097,19.154722082124852,-6.974656612670405,0.875994568947138
196,196,1.0507527504885643,58.77444990884597,10.932573209302298,1.1243456556300284
197,197,1.050746399870482,22.912344725213263,-1.401569947362514,0.5585891215778662
198,198,1.0507463998703177,11.614617533956473,-7.299667756235095,0.5598225598838142
199,199,1.0507527504882797,50.498323564290295,15.711233608009792,0.5022600159759969
200,200,1.0507471356630298,44.74903880254069,11.601268098523711,0.4881371296112569
201,201,1.0507463998703184,23.05097973752952,0.08422781143397984,0.7638823650667502
202,202,1.0507527504882788,50.15341188988529,26.049899428126633,0.6647591409660172
203,203,1.0507463998703184,90.24091598956237,39.5789907500246,0.8298964173978509
204,204,1.0507463998703088,46.29288094995745,19.816525283171462,0.6710547282356829
205,205,1.0507527504882788,59.12640670952869,23.77177969449251,0.6263535721965126
206,206,1.050759350081239,51.91437027309269,21.49946653876893,1.9928496594689582
207,207,1.0507599082571952,59.87645157800139,24.908483476381036,1.791828686561081
208,208,1.05075935008124,8.285120143017743,-3.9826841537707445,1.025081883037115
209,209,1.050756502529442,36.03384813136028,21.711078389493377,0.6424380947152137
210,210,1.0533555487273454,33.14176785731953,29.239850958646542,2.4359723081317757
211,211,1.050759350081239,45.387534326475375,11.601994909123988,0.648549637312966
212,212,1.0507603559344447,53.078068581424255,20.190681727326385,1.0594951149785166
213,213,1.396150027767278,27.45249210333638,27.45249210333638,1.62242231993028
214,214,1.05075935008124,54.973434820976095,22.911399359983562,1.0806256369579477
215,215,1.0507593500812396,48.00911412610505,13.425742301690562,0.7759454446731882
216,216,1.0951028851386873,30.950468280294352,28.89691446759133,1.514902124624868
217,217,1.0507565025294439,35.4684837903398,21.95324410468878,0.7545970195067284
218,218,1.05075935008124,9.755667434962767,-0.5559143489892939,0.9887815747693061
219,219,1.0533555487273436,35.20027427934937,32.640343464542454,2.3377974454339663
220,220,1.050759350081239,43.77688886421143,13.78889099486156,1.9723596876309173
221,221,1.0507599082571952,51.38213068578352,17.12569342294612,1.8679400665303119
222,222,1.0598181364742094,44.384998666131615,44.384998666131615,2.8524083920278316
223,223,1.0507498183938144,38.68763055561138,36.86417621528009,3.6720699228270792
224,224,1.0507533899816803,39.89643779495111,39.89643779495111,3.3591665533057005
225,225,1.0598185430714129,37.68917941187089,37.68917941187089,2.5149228073301426
226,226,1.05,3.7875696983990625,-1.4440791926578322,0.10887065247370914
227,226,1.05,2.860155050771973,-1.4440791926578322,0.10085974856983664
228,226,1.05,4.099206115156018,-1.4440791926578322,0.09521233737642457
229,226,1.05,5.280728019112146,-1.4440791926578322,0.09503095383109172
230,226,1.05,5.844907098244079,-1.4440791926578322,0.10101526719347598
231,226,1.05,6.160588353496865,-1.4440791926578322,0.10162342224932785
232,226,1.05,4.319055536855765,-1.4440791926578322,0.08552830075094218
233,226,1.05,3.841482534468965,-1.4440791926578322,0.07532059409866529
234,227,1.05,4.662162048306184,-0.20462037577557712,0.18889056421890835
235,227,1.05,4.283565934276212,-0.20462037577557712,0.17771308303151595
236,227,1.05,3.496367596542105,-0.20462037577557712,0.16174961351371828
237,227,1.05,2.244484678989611,-0.20462037577557712,0.11570818465477545
238,227,1.05,1.8145116044485654,-0.20462037577557712,0.05922417248261063
239,227,1.05,6.093719854959412,-0.20462037577557712,0.031823997073247796
240,227,1.05,7.4314127734040225,-0.20462037577557712,0.041681447271675456
241,227,1.05,5.733102474422558,-0.20462037577557712,0.07364425096768207
242,228,1.05,135.6979880620934,69.860264321383,0.7635221800744967
243,228,1.05,135.5006349124363,69.860264321383,0.6414168526945143
244,228,1.05,125.83488237343144,69.860264321383,0.6086298322487941
245,228,1.05,-4.9849042453442465,69.860264321383,0.6068731308301908
246,228,1.05,-4.14960421141648,69.860264321383,0.5658073833093706
247,228,1.05,-3.18851422353148,69.860264321383,0.49314622841822786
248,228,1.05,-2.0623581524794155,69.860264321383,0.37811500937579434
249,228,1.05,-1.2608881598502375,69.860264321383,0.18809677350148063
250,229,1.05,120.98010852548686,53.86382967440461,0.6342849026259065
251,229,1.05,121.18741344619472,53.86382967440461,0.3986852558947598
252,229,1.05,121.16491008851185,53.86382967440461,0.202315787557857
253,229,1.05,121.10380782813941,53.86382967440461,0.2202144262833543
254,229,1.05,116.04746889277551,53.86382967440461,0.359918247132089
255,229,1.05,5.559520893248715,53.86382967440461,0.3572134157750161
256,229,1.05,3.636093924085393,53.86382967440461,0.23459031163315064
257,229,1.05,3.3257766683950196,53.86382967440461,0.1167642952699893
258,230,1.05,108.98599084558978,26.32678021666662,0.5367675792976496
259,230,1.05,107.02577224685585,26.32678021666662,0.4223412561722105
260,230,1.05,105.09654696288426,26.32678021666662,0.4009398851765459
261,230,1.05,110.1818987308262,26.32678021666662,0.3613500541825433
262,230,1.05,109.914359701048,26.32678021666662,0.2943998232466539
263,230,1.05,104.94735243637372,26.32678021666662,0.30429028272249226
264,230,1.05,102.3700198106483,26.32678021666662,0.4009702211296571
265,230,1.05,49.59215376337005,26.32678021666662,0.4650325723202001
266,231,1.05,123.77300525349196,41.57477167908644,0.5228062481202344
