id,original_hole_size,hole_size,baseline_demand,candidate_demand,original_ligament_width,ligament_width,delta,risk_original,risk_candidate
0,6.92820531386791,6.7894470942426945,7.232870119681567,8.515193198763548,1.0719927609767472,1.0507529057572107,1.2823230790819808,LOW,LOW
1,6.92820531386791,6.789447587245743,7.232870119681567,8.111198364825011,1.0719922579124215,1.0507524127541708,0.878328245143444,LOW,LOW
2,6.928209718700821,6.780332659940812,33.78801653786241,45.662237627662925,1.071993786583705,1.0643441889994785,11.874221089800514,CRITICAL,CRITICAL
3,6.928205904001227,6.789357129295379,14.527859950004117,11.172116299534407,1.0719943009181172,1.0508722828966295,-3.3557436504697105,MODERATE,MODERATE
4,6.928209718700821,6.779795683107746,34.06886981161878,43.070368598408116,1.0719925912158732,1.0651279347928464,9.001498786789334,CRITICAL,CRITICAL
5,6.92820531386791,6.66730454870668,51.41990946418014,68.04140345424288,1.0719922529497603,1.1613804308494398,16.621493990062746,CRITICAL,CRITICAL
6,6.92820531386791,6.765631898733025,25.045425357035846,25.648151736227696,1.0719930293523616,1.086395998611028,0.60272637919185,HIGH,HIGH
7,6.92820531386791,6.764094838286164,25.056279979186137,24.53301589747092,1.0719926872245116,1.0881402994678482,-0.5232640817152152,HIGH,HIGH
8,6.92820531386791,6.661430568644669,51.52497409191001,68.30688015845261,1.071992329147607,1.1666692805351893,16.781906066542604,CRITICAL,CRITICAL
9,6.928209718700821,6.522143510564628,60.61300109570518,76.35253759675717,1.0719931389187856,1.2842446484318966,15.739536501051994,CRITICAL,CRITICAL
10,6.928209718700821,6.654680260689219,38.21293643453703,43.071439668897725,1.0719937907832797,1.1854252997699481,4.858503234360697,CRITICAL,CRITICAL
11,6.928209718700821,6.648056532912397,38.320735475473924,41.25486141308623,1.071992519217525,1.1920082365739715,2.9341259376123077,CRITICAL,CRITICAL
12,6.928209718700821,6.510084864926777,60.210992976095,85.60776443340768,1.0719928789750786,1.2951894058828148,25.39677145731268,CRITICAL,CRITICAL
13,6.928205904001227,6.716240814761547,22.91284564880398,22.978786953499885,1.0719943009180966,1.1262565728892746,0.06594130469590453,HIGH,HIGH
14,6.92820531386791,6.447855161737741,55.18199991241677,66.9290547812279,1.0719926872244347,1.3511793760357615,11.747054868811134,CRITICAL,CRITICAL
15,6.92820531386791,6.579612420289534,41.087604934347,40.883121443256655,1.0719935641958354,1.2599255387146773,-0.20448349109034325,CRITICAL,CRITICAL
16,6.92820531386791,6.694362478498221,29.855498462357776,22.61614065697306,1.0719930293523594,1.1491113691491797,-7.239357805384717,HIGH,HIGH
17,6.92820531386791,6.689762841432248,30.255428541676444,22.0911949305737,1.0719926872245087,1.153679645456795,-8.164233611102745,CRITICAL,HIGH
