cell,x,y,original_hole_size,candidate_hole_size,baseline_demand
0,-3.6000017166137694,-31.65975151062012,6.92820531386791,6.235384782481119,7.232870119681567
1,3.599998283386231,-31.65975151062012,6.92820531386791,6.235384782481119,7.232870119681567
2,-7.20000171661377,-25.424368286132815,6.928209718700821,6.23538874683074,33.78801653786241
3,1.3351445281146615e-06,-25.424368286132808,6.928205904001227,6.235385313601105,14.527859950004117
4,7.199998283386233,-25.42436828613281,6.928209718700821,6.23538874683074,34.06886981161878
5,-10.80000171661377,-19.188985061645507,6.92820531386791,6.068780551309651,51.41990946418014
6,-3.6000017166137694,-19.18898506164551,6.92820531386791,6.235384782481119,25.045425357035846
7,3.599998283386231,-19.188985061645507,6.92820531386791,6.233741237502629,25.056279979186137
8,10.799998283386229,-19.188985061645507,6.92820531386791,6.0606138867485475,51.52497409191001
9,-14.40000171661377,-12.953601837158203,6.928209718700821,5.8360006029185545,60.61300109570518
10,-7.20000171661377,-12.953601837158201,6.928209718700821,6.056439700966237,38.21293643453703
11,7.199998283386232,-12.953601837158203,6.928209718700821,6.047775966838982,38.320735475473924
12,14.399998283386232,-12.953601837158205,6.928209718700821,5.8185596611419195,60.210992976095
13,1.3351445281052592e-06,-12.953601837158205,6.928205904001227,6.14532974339855,22.91284564880398
14,-18.00000171661377,-6.718218612670897,6.92820531386791,5.71638497569711,55.18199991241677
15,-10.80000171661377,-6.718218612670897,6.92820531386791,5.947271894525897,41.087604934347
16,-3.6000017166137694,-6.718218612670898,6.92820531386791,6.1090810161867966,29.855498462357776
17,3.5999982833862303,-6.718218612670898,6.92820531386791,6.103259363427653,30.255428541676444
18,10.79999828338623,-6.718218612670898,6.92820531386791,5.929739196547862,42.107735541097945
19,17.999998283386233,-6.718218612670898,6.92820531386791,5.686840250573945,55.5720623916216
20,-21.60000019073486,-0.48283882141113277,6.9282034065195885,5.667341880766913,53.24135520452127
21,-14.40000171661377,-0.4828388214111329,6.92820531386791,5.891343855505245,40.99664623029715
22,-7.20000171661377,-0.4828388214111323,6.92820531386791,6.09777837560333,31.35983938734448
23,1.335144043169988e-06,-0.482838821411133,6.928201499170742,6.182077653282145,26.312630052151476
24,7.199998283386232,-0.4828388214111329,6.92820531386791,6.085495265434132,31.562329447988557
25,14.39999828338623,-0.48283882141113277,6.92820531386791,5.866009695237622,42.107735541097945
26,21.599998283386224,-0.4828388214111327,6.92820531386791,5.6284496097699535,55.152813273097244
27,-25.200000190735103,5.752544403076172,6.92819900168509,5.615247167757873,53.24135520452127
28,-18.000001716613774,5.752544403076173,6.928200909032199,5.830112438388449,38.47473753269674
29,-10.80000171661377,5.752544403076172,6.928200909032199,6.0595832434457995,31.35983938734448
30,-3.6000017166137694,5.752544403076172,6.928200909032199,6.217801429259114,25.878411108048894
31,3.5999982833862307,5.752544403076173,6.928200909032199,6.213175270875659,26.312630052151476
32,10.79999828338623,5.752544403076172,6.928200909032199,6.04431505287383,31.562329447988557
33,17.99999828338623,5.752544403076172,6.928200909032199,5.8018932051145615,39.4176013353656
34,25.19999828338623,5.752544403076172,6.928200909032199,5.611842736316081,55.152813273097244
35,-21.60000019073486,11.987927627563476,6.9282034065195885,5.721131707043083,40.84431918870557
36,-14.400001716613769,11.987927627563476,6.92820531386791,5.954068116104533,32.99508978240675
37,-7.200001716613771,11.987927627563478,6.92820531386791,6.160129434595589,27.149654854526784
38,1.3351440431386952e-06,11.987927627563478,6.928201499170742,6.235381349253668,25.238208389933114
39,7.19999828338623,11.987927627563478,6.92820531386791,6.1548364850986985,26.61602761559505
40,14.399998283386232,11.987927627563478,6.92820531386791,5.939640152148026,32.30534153448972
41,21.59999828338623,11.987927627563478,6.92820531386791,5.694310534824364,41.462636636477356
42,-25.200000190734865,18.223314285278324,6.9282034065195885,5.611844759280867,56.96122578750564
43,-18.000001716613767,18.22331428527832,6.92820531386791,5.7912784754269975,45.122977293565626
44,-10.80000171661377,18.223314285278324,6.92820531386791,6.013286055241966,32.99508978240675
45,-3.6000017166137694,18.223314285278317,6.92820531386791,6.161465694896547,26.42331300477736
46,3.5999982833862307,18.22331428527832,6.92820531386791,6.160943774945486,25.72200823274993
47,10.799998283386232,18.22331428527832,6.92820531386791,6.00913453459889,32.30534153448972
48,17.99999828338623,18.223314285278317,6.92820531386791,5.778668777913316,45.33727235932516
49,25.19999828338623,18.223314285278324,6.92820531386791,5.611846304233009,57.92841240329927
50,-21.600000190734864,24.458700942993165,6.9282034065195885,5.621968430862564,56.96122578750564
51,-14.40000171661377,24.45870094299317,6.92820531386791,5.8347294327593815,45.122977293565626
52,-7.200001716613769,24.45870094299316,6.92820531386791,6.011202679480235,31.812598291866422
53,1.335144043214534e-06,24.458700942993165,6.928201499170742,6.081351540084332,31.812598291866422
54,7.19999828338623,24.45870094299317,6.92820531386791,6.011057525540423,31.71375307681952
55,14.39999828338623,24.458700942993165,6.92820531386791,5.8310950519428095,45.33727235932516
56,21.59999828338623,24.45870094299317,6.92820531386791,5.611846304233008,57.92841240329927
57,-18.00000171661377,30.694073867797847,6.92820531386791,5.683704485805498,51.91783557338594
58,-10.80000171661377,30.69407386779785,6.92820531386791,5.862841453400257,34.62357092902455
59,-3.6000017166137703,30.694073867797854,6.92820531386791,5.971596030808534,47.841876699543675
60,3.5999982833862303,30.694073867797854,6.92820531386791,5.971622974338469,47.841876699543675
61,10.799998283386232,30.69407386779785,6.92820531386791,5.8622399313517315,34.787089956280504
62,17.999998283386233,30.694073867797854,6.92820531386791,5.6804661819381295,50.661925239537766
63,-7.208263083826835,36.92451620433405,6.918536074040185,5.872622527929821,33.78553941735139
64,7.2082596505992935,36.92451620433403,6.918536074040185,5.87159140728838,34.583371824414485
