cell,x0_mm,y0_mm,z_direct_mm,direct_edge_stretch_max,direct_edge_stretch_mean,x_relaxed_mm,y_relaxed_mm,z_relaxed_mm,relaxed_edge_stretch_max,relaxed_edge_stretch_mean,xy_shift_mm,boundary_cell,candidate_hex_side_mm,candidate_ligament_gap_mm,candidate_hole_scale
0,-4.000001907348633,-35.1775016784668,15.42552066295854,1.0427656044193165,1.0142554587700205,-4.013450510481528,-34.52232882934682,15.560594610402578,1.1475001090959895,1.0739464224892485,0.6553108629881057,True,3.5571720160012426,1.838797337023637,0.8892930040003106
1,3.999998092651367,-35.1775016784668,15.425593207205218,1.0427630696692245,1.0142544854578317,3.9494109385517606,-34.71903546855673,15.537263226109854,1.0884934922232472,1.0529790013963023,0.46124865939013443,True,3.7343229439055663,1.5319629292853767,0.9335807359763916
2,-8.000001907348633,-28.249298095703125,15.435460320821734,1.1703702124992759,1.0540048530332293,-7.191360331417465,-26.0032252595444,16.824788421622184,1.1475001090959895,1.0588366821751922,2.387204302872827,False,3.5571720160012426,1.838797337023637,0.8892930040003106
3,1.4834939199865627e-06,-28.249298095703125,17.790060695421662,1.0480671696841397,1.044418546053852,0.06944459072694337,-27.35271416598384,18.089027819655136,1.097876658761224,1.0363419412439197,0.8992691967220116,False,3.706152600527496,1.5807553952828561,0.926538150131874
4,7.999998092651368,-28.249298095703125,15.432628326064714,1.170415143431007,1.054055952628221,7.332758050097769,-26.860130273897152,16.385802981285256,1.0759678802816781,1.023306449889962,1.5411023689320837,False,3.7719276041219607,1.4668297471892178,0.9429819010304902
5,11.997715801477744,-21.32774637811271,16.081944161837765,1.4221168149888797,1.1552892178753338,11.361952227555388,-19.995553601981193,17.62961667792576,1.236604595292545,1.0945001545585316,1.476120901113295,True,3.339511292047068,2.2157967697244914,0.834877823011767
6,-12.000001599442156,-21.321095063852795,16.07940378105879,1.4229958631233184,1.155471239614084,-10.43433047795413,-18.389745920030165,19.527506376503066,1.088193841453068,1.0302283060195192,3.323271560322935,False,3.735222561860261,1.5304047452804452,0.9338056404650652
7,-4.000001907348633,-21.321094512939453,20.300134369674215,1.202568630824227,1.1104940109244483,-3.2982764634603328,-19.896581330508994,21.28369505230959,1.097876658761224,1.0335047833305888,1.58797241963404,False,3.706152600527496,1.5807553952828561,0.926538150131874
8,3.999998092651367,-21.321094512939453,20.297994161927633,1.202717404647739,1.1104742897545161,4.149638364618929,-20.253656418845942,20.893074684477615,1.1351525420857962,1.0415962559941938,1.0778758257408472,False,3.5942421459145373,1.7745899885706313,0.8985605364786343
9,-16.000001907348633,-14.392890930175781,19.010626177931172,1.5583417684644074,1.231954605070967,-14.255709329332037,-12.16165551048135,23.23192499918477,1.0571059633465645,1.00053778849745,2.832131369803098,False,3.828555254785546,1.3687477791266263,0.9571388136963865
10,-8.000001907348633,-14.392890930175781,24.17846007170219,1.4229958631233184,1.1987959409747981,-7.108747280507467,-13.289701131038658,25.555158214263287,1.092702680926795,1.0381646323986942,1.4182251382576714,False,3.7216860275040373,1.5538507105438253,0.9304215068760093
11,1.4834939199865627e-06,-14.392890930175781,25.643820198790127,1.202717404647739,1.1398917192615727,0.4300386889006823,-13.830716314906969,26.125564800664737,1.1367245215135668,1.0546313871353474,0.7077939644322316,False,3.589522715636461,1.782764281595039,0.8973806789091152
12,7.999998092651368,-14.392890930175781,24.175785282989903,1.4221168149888797,1.1986488029362026,7.91095719490036,-13.924449455104394,24.644861259380434,1.236604595292545,1.0686654625590386,0.4768287921669186,False,3.339511292047068,2.2157967697244914,0.834877823011767
13,15.999998092651369,-14.392890930175781,19.02253177214512,1.557630432656985,1.2313331924488498,14.68210802862028,-12.771075190877582,22.164138025973593,1.143145528358933,1.053803828232352,2.089765659854528,False,3.57024543147713,1.8161535171909424,0.8925613578692825
14,11.99999829986864,-7.464687762696208,28.576462928377946,1.557630432656985,1.1890629659303735,11.8096703629407,-7.306414424868601,28.756147835642814,1.1359534111210543,1.0637908303245251,0.24753822541647502,False,3.5918377597584596,1.7787545075539732,0.8979594399396149
15,-20.000001907348633,-7.464687347412109,22.93729667522451,1.320476670651108,1.1644039992180872,-18.459551133209054,-6.004064757866921,25.414798106396603,1.0010307416638964,0.9834919833708407,2.1228299358726126,False,3.996905485318999,1.0771566263767527,0.9992263713297498
16,-12.000001907348633,-7.464687347412109,28.57197897377396,1.5583417684644074,1.1890130720828636,-11.53355823244504,-6.803133795950656,29.181245719581923,1.0811091862106825,1.0469681376892073,0.8094583394522721,False,3.756492265439057,1.4935645380200402,0.9391230663597643
17,-4.000001907348633,-7.464687347412109,30.953804792905885,1.3104465638418703,1.112413220532017,-3.760434676519208,-7.411765209741445,31.017820912705226,1.1367245215135668,1.0777617875154795,0.24534304706453736,False,3.589522715636461,1.782764281595039,0.8973806789091152
