cell,x0_mm,y0_mm,z_direct_mm,direct_edge_stretch_max,direct_edge_stretch_mean,x_relaxed_mm,y_relaxed_mm,z_relaxed_mm,relaxed_edge_stretch_max,relaxed_edge_stretch_mean,xy_shift_mm,boundary_cell,candidate_hex_side_mm,candidate_ligament_gap_mm,candidate_hole_scale
0,-8.009178843548954,-41.027240722156954,35.27880492488113,2.526685959227388,2.343784860758751,-7.492513565321233,-38.81018311158363,25.65118132279626,1.1934946162670603,1.1479838666886115,2.276463805626439,True,3.419086322299641,2.077968774313205,0.8547715805749102
1,8.009178843548954,-41.027240722156954,35.27883119588289,2.5266881518480293,2.34378741431122,7.501749438383631,-38.80945055185372,25.655086455367837,1.1915324466276336,1.148048111307399,2.2750995232560864,True,3.424977189981138,2.067765492188186,0.8562442974952845
2,-20.0,-34.10453414916992,29.67788419022853,2.0545197020758157,1.6155822559669044,-18.771109548489704,-32.626605399919335,24.258352220590833,1.1999654217447313,1.0969700498532573,1.9220939440294234,True,3.399659531620724,2.111616962797094,0.849914882905181
3,-12.0,-34.10453414916992,19.972130330205815,2.1608837622901134,1.486500869854483,-11.679654813938857,-33.97610784395156,19.592593571084002,1.1219523646191394,1.0567406590294346,0.3451294744071972,False,3.633872001185908,1.705949065744016,0.908468000296477
4,-4.0,-34.10453414916992,16.716181606462193,2.526685959227388,1.418178031992177,-4.113856222597687,-34.83758991518028,17.65349858114906,1.1934946162670603,1.0823099701300112,0.7418449942577282,False,3.419086322299641,2.077968774313205,0.8547715805749102
5,3.9999932183159723,-34.10453414916992,16.716180891022947,2.5266881518480293,1.4181784423445072,4.1942003466391276,-34.8252241448425,17.652187555030164,1.1915324466276336,1.0812301172809222,0.7463983377219356,False,3.424977189981138,2.067765492188186,0.8562442974952845
6,12.0,-34.10453414916992,19.972130330205815,2.16088667677441,1.4865014381210204,11.739112124600627,-33.96617452756529,19.614476180909467,1.1196467872663818,1.0563023374257365,0.29530639752801613,False,3.6407938548532193,1.6939600635096763,0.9101984637133048
7,20.0,-34.10453414916992,29.67788419022853,2.054519742382424,1.6155822694024409,18.79232137749261,-32.62896782116452,24.289244809033534,1.1993718184966404,1.0959254807439793,1.9067730970424057,True,3.4014416599951254,2.108530225907021,0.8503604149987813
8,-24.0,-27.176326751708984,24.08704514573909,1.608793016967512,1.328099294285361,-22.30641694942924,-26.295944794099416,20.57623237964603,1.0218088426999312,1.0027755254344102,1.9087419784939537,False,3.9345250257416984,1.185202751764134,0.9836312564354246
9,-16.0,-27.176326751708984,15.320047891237644,2.0545197020758157,1.3469644531217602,-16.049560291661596,-28.164338814556334,16.206264381753826,1.1999654217447313,1.071492573275927,0.9892542943255076,False,3.399659531620724,2.111616962797094,0.849914882905181
10,-8.0,-27.176326751708984,11.429556130388551,1.4629567028327362,1.1608970023699052,-8.323134432354832,-29.033165086326544,12.894616604131933,1.1279303861758483,1.0859578613492233,1.8847451982373091,False,3.6159246569399746,1.7370347778389021,0.9039811642349936
11,-0.0,-27.176326751708984,10.24842076764111,1.2859330193314509,1.125026172931836,0.07204810670820541,-29.418108044525713,11.85492633340763,1.1237615072972063,1.0997225789680072,2.2429387629855793,False,3.6284405543225495,1.715356607669964,0.9071101385806374
12,8.0,-27.176326751708984,11.429556130388551,1.4629567028327362,1.1608969548982873,8.458408354387029,-29.003265482020186,12.918390729615513,1.1255175535430213,1.0858609018858816,1.8835719640308224,False,3.6231685147043495,1.724488048148202,0.9057921286760874
13,16.0,-27.176326751708984,15.320047522108846,2.054519742382424,1.346964446173091,16.136948537925157,-28.13024567130912,16.24100812393765,1.1993718184966404,1.0711035647199203,0.9636992306788079,False,3.4014416599951254,2.108530225907021,0.8503604149987813
14,24.0,-27.176326751708984,24.087045145739086,1.608792613754785,1.3280992020030626,22.352589140454416,-26.288929495934045,20.629208756198167,1.0243693587869211,1.0022303062829538,1.8712125559929347,False,3.926837789550841,1.1985174354164814,0.9817094473877103
15,-28.0,-20.248126983642578,24.16554237510259,1.6164904781199965,1.365690834495912,-26.63238697931458,-19.695249926263568,21.29765035274114,1.1592475141189214,1.087476362740105,1.475140133995536,True,3.5219037052494424,1.8998838431428826,0.8804759263123606
16,-20.0,-20.248126983642578,14.005096823131584,1.6164904781199965,1.2648097675048364,-20.296586929509605,-21.02777022058697,14.657715524030467,1.1592475141189214,1.070738610668338,0.8341506960190488,False,3.5219037052494424,1.8998838431428826,0.8804759263123606
17,-12.0,-20.248126983642578,9.167601408081754,1.2615257757352925,1.0964163105743465,-12.756683598702892,-22.127206361877324,10.315878608030172,1.1351089041432538,1.1011356929889702,2.025712066966339,False,3.594373156679481,1.774363071269411,0.8985932891698702
18,-4.0,-20.248126983642578,7.021117106169184,1.141780060352963,1.0487543353889592,-4.288829561554625,-22.597030544592666,8.023988254074382,1.1386058438433586,1.1154140767624614,2.3665946958175668,False,3.5838745694780645,1.792547157709956,0.8959686423695161
19,3.9999932183159723,-20.248126983642578,7.021116247476816,1.141779999430214,1.048754334023091,4.472949770202972,-22.570143717282058,8.039290705812377,1.1338782389891204,1.1158996125347385,2.3696939910618413,False,3.598067885941191,1.7679636124679172,0.8995169714852977
20,12.0,-20.248126983642578,9.167601408081754,1.261525747606571,1.096416345071648,12.923381611101666,-22.048386971834596,10.35321689698609,1.131800036299562,1.1023639689487315,2.023257182071976,False,3.6043071105288766,1.7571569584822129,0.9010767776322192
21,20.0,-20.248126983642578,14.005100940973023,1.6164900737031727,1.2648096901394588,20.397266645507166,-20.96503342211206,14.713967465968363,1.1490694644249138,1.0698652351150892,0.8196191976470016,False,3.5524604638488784,1.8469579847340425,0.8881151159622196
22,28.0,-20.248126983642578,24.16554237510259,1.6164900737031727,1.3656906996903038,26.653793961562588,-19.69009577751555,21.327096870914524,1.1490694644249138,1.0813652116842492,1.4572815530764598,True,3.5524604638488784,1.8469579847340425,0.8881151159622196
23,-24.0,-13.319927215576172,15.431316555341558,1.4805338873104643,1.2086020141532372,-23.717111447601155,-13.84899225228343,15.252601077976207,1.1125719101297193,1.0609845747533733,0.5999464527308808,False,3.6620342023937638,1.657170702399032,0.9155085505984409
24,-16.0,-13.319927215576172,9.211471423768815,1.2666791810968576,1.0975022461750161,-16.783934684227265,-14.584091827727278,9.883708983665517,1.1028326561616266,1.0873636391517376,1.4875031952065374,False,3.6912735990747234,1.6065265817649497,0.9228183997686809
25,-8.0,-13.319927215576172,6.038462818756626,1.0757844783537718,1.0300245897349096,-8.651642813369843,-14.988486810409361,6.488414191950356,1.137545319608128,1.1158636969679587,1.7912926834346363,False,3.587058498032066,1.7870324316867565,0.8967646245080165
26,-0.0,-13.319927215576172,5.061782513596031,1.029555387376985,1.0123307985705254,0.11297676797676202,-15.084716257533834,5.348121660980419,1.1386058438433586,1.1254915236043774,1.7684015699824291,False,3.5838745694780645,1.792547157709956,0.8959686423695161
27,8.0,-13.319927215576172,6.038462818756627,1.0757844745847776,1.0300245846697214,8.889958770982922,-14.921425419626697,6.538671035433218,1.1315436884003494,1.1175371298447692,1.8321635057020678,False,3.6050767236776826,1.7558239494063077,0.9012691809194207
